word,synonym,haiku
ABBOT,prior,"Robed in silence deep / He leads his brothers in prayer / Bells call them to God"
BATCH,group,"Mixed together now / One bowl holds the future bread / Heat transforms the whole"
CONCH,shell,"Hold it to your ear / The ocean trapped inside speaks / Waves from far away"
DECOR,design,"Each piece placed just so / The room tells a story whole / Beauty in the plan"
dodgy,shady,"Something's off with him / Trust your gut when it warns you / Not all smiles are kind"
FRUIT,produce,"Sun made this sweetness / Seeds wrapped in tempting bright flesh / Eat and spread the life"
GLINT,gleam,"A blade of sunlight / Cuts the edge of the moment / Then nothing remains"
grass,lawn,"Green carpet spreads wide / Beneath bare feet cool and soft / Earth's simplest pleasure"
MYRRH,resin,"Gift of ancient kings / Incense from another time / Sacred smoke rises"
PRISM,crystal,"Light enters as one / Exits scattered into many / Rainbow in the glass"
QUILT,blanket,"Pieces stitched to whole / Warmth made from scraps of other things / History in fabric"
RUGBY,sport,"Bodies clash and strain / The ball moves through pure will / Mud and glory mixed"
segue,transition,"From one thought to next / Seamlessly the bridge connects / Conversation flows"
SPEED,velocity,"Fast becomes the goal / Time compresses in the rush / Slow is left behind"
SPOOL,reel,"Thread waits in still loops / Patient circles hold their breath / Until hands give motion"
WHITE,pale,"The absence of color / Snow and bone and clean sheets share / Purity in hue"
